property_name,property_type,property_description,No_of_bedrooms,No_of_bathrooms,property_location,property_address,Estate_name,property_size,property_condition,Furnishing,price,Agency_fee,No_of_toilets,caution_fee,agency,agent_contact,country,area,specific_area,date_posted,internal_features,external_features,,
"2bdrm Apartment in Riat Airport, Kogony for rent",Apartment,"Spectacular newly built 2 bedrooms and 1 bedroom apartment in Riat Airport estate
2 bedrooms - ksh 25,000 1 bedroom - Ksh 18,000
Contact PAHL INVESTMENTS",2 bedrooms,1 bathroom,Not available,off busia rd,Riat Airport,100,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Gym

|



Lift/Elevator

|



Parking

|



Staff Quarters

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area",,
4bdrm Bungalow in Karen for rent,Bungalow,4bedrooms standalone bungalow on half acre Karen with sq for 2 rent 180k,4 bedrooms,5 bathrooms,Not available,Karen,Karen,500,Detached,Renovated,,1,Unfurnished,1,,Not available,kenya,,,09/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



BBQ

|



Parking

|



Staff Quarters

|



Garden

|



Borehole",,
3bdrm Apartment in Langata for rent,Apartment,"This gorgeous 3 bedroom master ensuite apartment with in a very secure and quiet gated community is up for rent.
 The apartment has a large ensuite master bedroom with large wardrobes. It has a large living room and a separate dining area. The kitchen is well designed with granite work tables and space provided for a large cooker and fridge. There are well maintained bamboo laminate floors and ceramic tiles in kitchen and bathrooms. There is ample vehicle parking space and an underground water supply from a borehole on site. The property is in close proximity to many social amenities, schools and public transport. Rent is inclusive of service charge. Agency fees apply",3 bedrooms,2 bathrooms,Not available,langata,Renovated,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



Furnished","Balcony

|



CCTV

|



Parking

|



Electric Fence

|



Swimming Pool",,
"3bdrm Bungalow in Matangi, Ruiru for rent",Bungalow,"This is a 3 bedroom master ensuite located in ruiru matangi.
2 5km from the highway and 800m from the tarmac.",3 bedrooms,2 bathrooms,Not available,Kimbo,Matangi,240,Detached,Newly-Built,,Not available,Unfurnished,Not available,,Not available,kenya,,,09/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Serviced

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Borehole

|



Gym

|



Lift/Elevator

|



Parking

|



Swimming Pool

|



Wheelchair Access

|



Kids Play Area

|



Pet Friendly",,
1bdrm Apartment in Langata for rent,Apartment,"Spacious one bedroom to let in langata,with balcony, separate toilet and bathroom,bohole water,security ready for occupation",1 bedroom,1 bathroom,Not available,Langata,Langata,200,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



Furnished

|



En Suite","Balcony

|



Parking

|



CCTV

|



Garden

|



Electric Fence

|



Gated Community

|



Kids Play Area",,
3bdrm Apartment in Kileleshwa for Rent,Apartment,"3 bedroom, 2 ensuite available for occupation in a prime location very close to Aborretum and Riverside. 
Enjoy amenities such as a fully equipped gym, Electric water heating system, Rooftop area/ BBQ , Beautifully landscaped garden, kids play area, ample parking on 4 levels and tight security... 
To book, Call/Whatsapp",3 bedrooms,3 bathrooms,Not available,"Laikipia Road, Aborretum","112
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"En Suite

|



Alarm

|



Walk In Closet

|



Fibre Internet

|



Aircon","Balcony

|



Wheelchair Access

|



Garden

|



Electric Fence

|



CCTV

|



Gated Community

|



BBQ

|



Parking

|



Staff Quarters

|



Kids Play Area",,
3bdrm Townhouse / Terrace in Runda for rent,Townhouse / Terrace,"This is are luxurious 3&4 Bedroom town houses located along Ruaka Road, Runda. The town houses are in a gated community complimented by serenity and a lush topography.
The Town Houses have a massive lounge a dining area, a fitted kitchen with pantry and ensuite bedrooms. They are located within the commuter zone of Nairobi which is easily accessible via public and private means.
Key Features of the Town Houses.
Cloakroom.
Lounge with a balcony.
Dining area.
Fitted kitchen with pantry
Laundry area
Master Bedroom ensuite with a vanity wash hand basin, bathtub, overhead shower WC and a walk in closet.
3 bedrooms ensuite with a shower room.
Amenities
Ample parking space
24hr security
Common Garden
Solar lighting
Internet
Educational Facilities  Cheleta Primary School &New Dawn Academy",3 bedrooms,3 bathrooms,Not available,Ruaka Road,"230
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Furnished

|



Service Charge Included

|



Backup Generator","Swimming Pool

|



Electric Fence

|



Balcony

|



Gym

|



Parking

|



Gated Community

|



Kids Play Area

|



CCTV",,
2bdrm Apartment in Westlands for Rent,Apartment,"* master en suite.
* very spacious living and dining areas.
* spaciious kitchen with numerous cabinets and shelves.
* expansive backyard complete with a perimeter wall forr privacy.
* huge back up water tanks.
* very few units in the compound and has a detached SQ for one.
* price inclusive of service charge and is non negotiable.",2 bedrooms,2 bathrooms,Not available,Brookside Groove,"140
     
      sqm",,Unfurnished,Pets Allowed,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator","Balcony

|



Parking

|



CCTV

|



Swimming Pool

|



Gym

|



Gated Community

|



Lift/Elevator

|



Electric Fence",,
3bdrm Apartment in Thindigua for rent,Apartment,"THREE BEDROOM KIAMBU ROAD 
THINDIGUA NEAR QUICKMAT 
Prices :50,000
 The apartment has spacious rooms and is close to Kiambu road 300meters
 With Enclosed Kitchen 
Well lit
Ample parking space
Modern Finishing
With wardrobe
Kitchen Cabinets/shelves,
Tiled floor
Instant showers,
Token electricity meters
Constant water supply/
Next to tarmac road 
 Unit along Kiambu road -Thindigua 
Close proximity to Schools,shopping center and other utilities.",3 bedrooms,2 bathrooms,Not available,Kiambu road,Thindigua,185,Newly-Built,Unfurnished,,Not available,3,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



Furnished","CCTV

|



Parking

|



Balcony

|



Electric Fence

|



Gated Community",,
"Three Bedrooms Own Compound in Nairobi West at 50,000/=",Maisonette,"Three bedrooms own compound for either residential or commercial purposes. It's ready for occupation with a guiding monthly rent of 50,000/=.To book viewing call Maryanne",3 bedrooms,2 bathrooms,Not available,Newly-Built,Standard,,5,Pets Allowed,,Yes,"TV, Hot Water, Wi-Fi",8000,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



Furnished","Balcony

|



Parking

|



CCTV

|



Gated Community

|



Electric Fence",,
Furnished 2bdrm Apartment in Kileleshwa for rent,Apartment,"This apartment is generously spaced out with great light and an island in the kitchen. The open plan arrangement is stylish and well designed to give comfort. 
The two bedroom furnished apartment is on the 5th floor bearing amazing views of the lush area. 
The apartment services includes cleaning twice a week and includes all the utilities ie internet, water and cooking gas. Power is paid for at a cap of 5,000 per month. 
This is ideal for long term living as it is comfortably set to give a great living experience and a home away from home. 
It is within close proximity to shopping malls, hospitals and schools among other recreational facilities.",2 bedrooms,2 bathrooms,Not available,Kileleshwa,"130
     
      sqm",,Furnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Backup Generator

|



Service Charge Included

|



Furnished

|



En Suite","Balcony

|



Gym

|



Parking

|



CCTV

|



Gated Community

|



Swimming Pool

|



Electric Fence",,
"Mini Flat in Thome (Safari Park), Roysambu for rent",Mini Flat,"2bedroom, Master ensuite, gated community, behind Safari park hotels",3 bedrooms,2 bathrooms,Not available,Safari park hotel,Thome (Safari Park),3200,Fairly Used,Unfurnished,,1000,500,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



Furnished","Swimming Pool

|



Parking

|



Gym

|



Balcony

|



CCTV

|



Gated Community",,
"4bdrm Apartment in 4Br All Ensuit, Lavington for rent",Apartment,"A well finished units with highest standards with modern finishing and layout are well designed located along in Lavington it's proximity to various international school, hospital,mall and other social 
Features:
*Ceramic tiles in the kitchen balconies and bedroom 
*4br all ensiut 
*Concept lighting provided in all areas
*Open kitchen with fitted cabinet with pantry and utility area
*Guests cloakroom
*Spacious living room
*Spacious Dsq with access for the main lobby
*High quality sanitary ware and fitting
* Wooden flooring in the sitting room, corridors and bedrooms
Amenities:
*Bohole
* Electric water heater
*Both solar
*Backup generator
*2 high speed lift
* Landscaping garden
*Gym
* Swimming pool
* 2 parking per unit
Prices:
4br - 150k per inclucive of charges fee",4 bedrooms,4 bathrooms,Not available,othaya rd,4br all ensuit,1600,Newly-Built,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,03/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Service Charge Included

|



Serviced

|



Walk In Closet","Balcony

|



Electric Fence

|



Borehole

|



Garden

|



Parking

|



Staff Quarters

|



CCTV

|



Gated Community

|



Kids Play Area",,
"Furnished 3bdrm Apartment in Silver Habor, Hurlingham for rent",Apartment,"Your home away from home ! This stunning 3-bedroom apartment is available for rent, offering the perfect blend of comfort and style.
You, your friends, or your family will be close to everything you need when you stay here (schools, parks, shopping centers, restaurants, easy access to public transportation).
Need to know:
-Inclusive: access to heated pool, gym, + public garden with waterfall and playground.
-Secured parking + restricted access to the apartment with video surveillance system.",3 bedrooms,2 bathrooms,Not available,Kindaruma Rd,"Silver Habor Apartments, Kilimani",129,Fairly Used,Furnished,,Not available,3,Not available,,Not available,kenya,,,07/05/2024,"Service Charge Included

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



Staff Quarters

|



Garden",,
3bdrm Apartment in Kileleshwa for rent,Apartment,"3 Bedroom, Master ensuite to let. Located in a very Serene community, safe for families. 
Modern functional amenities available. 
Call us to book",3 bedrooms,2 bathrooms,Not available,Kileleshwa,"130
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,06/05/2024,"Serviced

|



Service Charge Included

|



Walk In Closet

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Alarm","Garden

|



Wheelchair Access

|



Swimming Pool

|



Borehole

|



Electric Fence

|



Pet Friendly

|



Parking

|



CCTV

|



BBQ

|



Lift/Elevator

|



Kids Play Area

|



Gated Community

|



Gym

|



Balcony",,
"Furnished 3bdrm Apartment in Bric, Lavington for Rent",Apartment,"Apartment features
* 3 bedrooms all ensuite
* self contained servant's quarter
* total unit area of 213 sqm
* expansive living room 
* defined dining area 
* semi open kitchen 
* master bedroom with a balcony, bathtub, and shower cubical 
* inbuilt wardrobes in all bedrooms 
* visitors cloakroom
shared amenities
* large outdoor swimming pool
* well equipped gym
* solar water heaters
* borehole and city council water
* ample parking 
* high speed lifts",3 bedrooms,4 bathrooms,Not available,Valley Arcade,Bric,213,Newly-Built,Furnished,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



Furnished","Parking

|



CCTV

|



Balcony

|



Electric Fence

|



Gated Community",,
"3bdrm Bungalow in Syokimau Estate, Katani for rent",Bungalow,"3 Bedroom Bungalow
Two parking slots",3 bedrooms,2 bathrooms,Not available,55410,Syokimau Estate,500,Detached,Fairly Used,,2,Unfurnished,"Security
garbage collection",,Not available,kenya,,,09/05/2024,"Aircon

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Walk In Closet","Balcony

|



Gym

|



Gated Community

|



Kids Play Area

|



Lift/Elevator

|



BBQ

|



CCTV

|



Parking

|



Pet Friendly

|



Staff Quarters

|



Electric Fence

|



Borehole

|



Swimming Pool

|



Wheelchair Access

|



Garden",,
3bdrm Apartment in Malindi for rent,Apartment,"Helping You Find A Right Home For You & Your Family .
This Is A Three Bedroom Cozy & Bright Specious Flat For Rent In Malindi .
-Unfurnished 
-Specious Kitchen
-Ensuite Master Bedroom 
-Sitting Area
-Closet
-Patio
-PrePay 
-Dining Area
-Mawasco
-Ceiling Fan
-Serena Neighborhood
-Laundry Area
-Fan
-Balcony
-Chandelier Light
-Sliding Window
-Kitchen Store
-Kitchen Cabinets 
-Parking 
-Good Security 
30k Per Month For Longterm Lease.
Location : Malindi Sea Breeze
Call/Whatsapp + For Viewing",3 bedrooms,3 bathrooms,Not available,sea breeze,"1000
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Furnished

|



Backup Generator

|



Service Charge Included","Balcony

|



Lift/Elevator

|



Parking

|



Swimming Pool

|



Electric Fence

|



CCTV

|



Gated Community

|



Gym",,
"Mini Flat in Syokimau, Gateway Mall Area for rent",Mini Flat,A newly built houses comprising of four units of spacious 2 bedroom with ample parking in a gated court few meters from tarmac road two units remaining call in advance for more information and viewing with a viewing fee powered by Edgewood realtors ltd,2 bedrooms,1 bathroom,Not available,Syokimau,Syokimau,96,Newly-Built,Unfurnished,,Not available,1,Not available,,Not available,kenya,,,09/05/2024,Not available,Not available,,
"Furnished 1bdrm Apartment in Mtambo, Bamburi for rent",Apartment,Full furnished apartments one bedroom at mwembeni bamburi mtambo opposite green shower wifi full time water,1 bedroom,1 bathroom,Not available,Mwembeni street,Mtambo,2000,Newly-Built,Furnished,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Backup Generator

|



Service Charge Included","Balcony

|



Parking

|



CCTV

|



Gated Community",,
in Westlands for rent,Not available,This magnificent maisonette is available for rent in westlands rhapta Road four bedrooms master ensuite asking 90000ksh inclusive of service charge viewing contact SULTAN ESTATES,Not available,Not available,Not available,Not available,Not available,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator","CCTV

|



Garden

|



Gated Community

|



Electric Fence

|



Parking

|



Kids Play Area

|



Balcony",,
1bdrm Block of Flats in Zimmerman for Rent,Block of Flats,"Spacious one bedrooms to let with tiles,wardrobes,prepaid tokens,plenty of water",1 bedroom,1 bathroom,Not available,23 zimmerman,Newly-Built,,"Wardrobe, Tiled Floor, Pre-Paid Meter",Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



Walk In Closet

|



Alarm

|



En Suite

|



Fibre Internet","Garden

|



Swimming Pool

|



Borehole

|



Electric Fence

|



Parking

|



Pet Friendly

|



CCTV

|



BBQ

|



Kids Play Area

|



Lift/Elevator

|



Gated Community

|



Gym

|



Balcony",,
"4bdrm Villa in Miotoni, Karen C for Rent",Villa,4bedrooms villa gated communit of few houses miotoni all eunsit on half acre dsq for 2 rent,4 bedrooms,5 bathrooms,Not available,miotoni estate,miotoni,500,Newly-Built,Unfurnished,,1,Pets Allowed,1,,Not available,kenya,,,09/05/2024,"Gated Community

|



Kids Play Area

|



Staff Quarters

|



Parking

|



Garden

|



Electric Fence

|



Balcony",Not available,,
"2bdrm Apartment in Mwimuto, Kabete for Rent",Apartment,"Two bedroom apartment to let - mwimuto, lower kabete
located 5 min from the tarmac in secure compound with 24 cctv surveillance.
social amenities like supermarket and school are just a walking distance. its also 15min drive from westlands.",2 bedrooms,1 bathroom,Not available,Getathuru Road,Mwimuto,,Unfurnished,No Pets,,Not available,"Kitchen Cabinets, Tiled Floor, Wardrobe, Wi-Fi, Kitchen Shelf, 24-hour Electricity, Pre-Paid Meter, Dining Area, Balcony",Not available,,Not available,kenya,,,09/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished","Balcony

|



Gym

|



Lift/Elevator

|



Parking

|



CCTV

|



Swimming Pool",,
3bdrm Maisonette in Kitengela for rent,Maisonette,"IN YUKOS, KITENGELA
Spacious 3 Bedroom Master En-suite For Rent In Kitengela, Yukos
 Call or WhatsApp",3 bedrooms,2 bathrooms,Not available,Kitengela Yukos,"135
     
      sqm",,Unfurnished,1000,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished","Balcony

|



Gym

|



Lift/Elevator

|



Parking

|



CCTV

|



Swimming Pool",,
Furnished Mini Flat in Nairobi Central for rent,Mini Flat,Furnished studio @ westlands for long-term renting @ 25k all inclusive. call,1 bedroom,1 bathroom,Not available,westlands,"49
     
      sqm",,Furnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,08/05/2024,"Backup Generator

|



Alarm

|



Service Charge Included

|



Serviced

|



Walk In Closet

|



En Suite

|



Furnished","Garden

|



Electric Fence

|



Swimming Pool

|



CCTV

|



BBQ

|



Balcony

|



Lift/Elevator

|



Parking

|



Kids Play Area

|



Pet Friendly

|



Staff Quarters

|



Borehole

|



Gym",,
Own Compound 3 Bedroom All En-Suite to Let in Nyali,Maisonette,"Location off links road
3 bedroom all ensuite
living lounge with separate family room, dining, kitchen with marble worktops, pantry/stores, first bedroom ensuite with a balcony, 2nd bedroom ensuite, master ensuite with a balcony, walk in closet and a steam room.",3 bedrooms,4 bathrooms,Not available,Nyali,Unfurnished,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,08/05/2024,"Backup Generator

|



Furnished

|



Fibre Internet

|



En Suite

|



Walk In Closet

|



Service Charge Included","Balcony

|



Lift/Elevator

|



Parking

|



BBQ

|



CCTV

|



Electric Fence",,
1bdrm Block of Flats in Nairobi West for rent,Block of Flats,"Bedsitter available few meters from west hospital.
Secure location.
Water available.
Call for this and other options.",1 bedroom,1 bathroom,Not available,Gadhi avenue.,Nairobi west,10,Fairly Used,Unfurnished,,1500,1,Not available,,Not available,kenya,,,08/05/2024,"Backup Generator

|



En Suite

|



Furnished

|



Fibre Internet

|



Service Charge Included

|



Serviced","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Garden

|



Gym

|



Swimming Pool

|



Parking

|



Lift/Elevator",,
"1bdrm Bedsitter in Kirigiti, Kiambu / Kiambu  for rent",Bedsitter,"Bedsitter to let in kirigiti 
spacious ,modern and executive bedsitter apartments available 
 ksh 8,500/-
kirigiti near around about 
features & amenities:
 bedsitter
modern finishing
elegant & classy cabinetry.
fitted closet and kitchen shelves
open kitchen
fitted hot showers.
quality bathroom fittings
well lit rooms
social amenities available
ample parking space
close proximity to tarmac and other facilities
internet facilities
constant water supply
 manned security gates 24/7
 laundry section for every unit
call us for viewing",1 bedroom,1 bathroom,Not available,Kirigiti Bedsitters,Kirigiti,100,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,08/05/2024,"Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet

|



Service Charge Included

|



Alarm","Balcony

|



Lift/Elevator

|



Parking

|



BBQ

|



CCTV

|



Swimming Pool

|



Electric Fence

|



Garden

|



Gym",,
"1bdrm Apartment in Muchatha, Ruaka for rent",Apartment,A newly built spacious one bedroom apartment in muchatha.,1 bedroom,1 bathroom,Not available,Muchatha,Muchatha,300,Newly-Built,Unfurnished,,1000,1,1000,,Not available,kenya,,,08/05/2024,"Backup Generator

|



En Suite

|



Fibre Internet

|



Walk In Closet

|



Service Charge Included","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Gym

|



Swimming Pool

|



Lift/Elevator

|



Parking",,
1bdrm House in 1B/R At Lower Kabete for rent,House,"1 bedroom house located at lower kabete wangige kiahuria with inbuilt wardrobe, an open kitchen, yiled floor near wangige shopping centre",1 bedroom,1 bathroom,Not available,Lower kabete wangige,1b/r at lower kabete wangige kiahuria,600,Detached,Newly-Built,,1,Unfurnished,Not available,,Not available,kenya,,,15/04/2024,Not available,Not available,,
3bdrm Apartment in Ruaka for rent,Apartment,"An extra spacious 3 bedroom in Ruaka on a special offer of 45k, down from 50k.
Price is inclusive of water, and other service charges.
Have a backup generator 
Modern Elevators 
Perfect natural lightings 
Family-friendly 
Master ensuite 
Bedrooms can fit 2 beds each
Ample parking space 
Call for more details and/or other options.",3 bedrooms,2 bathrooms,Not available,Ruaka,"125
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,06/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Walk In Closet

|



Service Charge Included","BBQ

|



Balcony

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Swimming Pool

|



Wheelchair Access

|



Staff Quarters

|



Parking

|



Lift/Elevator

|



Gym

|



Gated Community

|



Kids Play Area

|



Pet Friendly",,
3bdrm Bungalow in Kitengela for rent,Bungalow,"4 bedroom Massionete For Sale 
  Key Features:
4 Bedrooms
Spacious Living Areas
Modern Kitchen
Master Bedroom Ensuite
Water and Wifi available 
Rent 35,000
Contact us on",3 bedrooms,3 bathrooms,Not available,Kitengela,"135
     
      sqm",,Unfurnished,1000,,Not available,Not available,Not available,,Not available,kenya,,,06/05/2024,"Alarm

|



Backup Generator","CCTV

|



Electric Fence

|



Lift/Elevator

|



Parking",,
Parklands 3 Bedroom Old Type For Rent,Apartment,This is a well maintained 3 bedroom flat old type but very clean well renovated very secure with parking space,3 bedrooms,1 bathroom,Not available,Unfurnished,Not available,,Not available,Not available,,Not available,Not available,Not available,,Not available,kenya,,,08/05/2024,"Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Service Charge Included

|



Walk In Closet",Not available,,
"4bdrm Townhouse / Terrace in Redhill, Limuru for rent",Townhouse / Terrace,"This one town house is available in Redhill 30 minutes drive to westlands and gigiri is four bedroom two ensuite with dsq for one garden, borehole water supply and County government water, common swimming pool standby generator asking 130000ksh inclusive service charge viewing strictly by appointment 2 days in advance contact SULTAN ESTATES",4 bedrooms,4 bathrooms,Not available,Redhill Road,Redhill,3000,Detached,Fairly Used,,Not available,Unfurnished,Not available,,Not available,kenya,,,08/05/2024,"Service Charge Included

|



Alarm

|



Backup Generator

|



En Suite

|



Fibre Internet

|



Furnished

|



Walk In Closet","Balcony

|



CCTV

|



Electric Fence

|



Garden

|



Gym

|



Parking

|



Lift/Elevator

|



Swimming Pool

|



Wheelchair Access

|



BBQ",,
"Furnished 1bdrm Apartment in Maziwa, Lavington for rent",Apartment,"A stunning prestigious fully furnished 1bedroom apartment for rent located in the heart of Lavington. 
* Swimming pool 
* Gym
* Lifts 
* Borehole 
* Parking",1 bedroom,1 bathroom,Not available,Lavington Nairobi,Maziwa,100,Newly-Built,Furnished,,Not available,Not available,Not available,,Not available,kenya,,,08/05/2024,"Backup Generator

|



Service Charge Included

|



Fibre Internet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Garden

|



Parking

|



Wheelchair Access",,
"Furnished 3bdrm Apartment in Bell Crest Garden, Kileleshwa for rent",Apartment,3 Bdrs furnished apartment,3 bedrooms,3 bathrooms,Not available,Gitunguri Road,Bell Crest Garden Apartment,180,Renovated,Furnished,,Included,10000,0,,Not available,kenya,,,08/05/2024,"Furnished

|



En Suite

|



Fibre Internet

|



Backup Generator

|



Alarm

|



Service Charge Included

|



Walk In Closet","Balcony

|



BBQ

|



CCTV

|



Electric Fence

|



Gym

|



Swimming Pool

|



Parking

|



Lift/Elevator",,
"2bdrm Bungalow in Baraka, Kisaju for rent",Bungalow,3 bedroom bungalow in gated community 1.8km from main Rd.,2 bedrooms,2 bathrooms,Not available,Hawa,Baraka,450,Fairly Used,Unfurnished,,1000,1,Not available,,Not available,kenya,,,08/05/2024,"Backup Generator

|



Walk In Closet

|



Service Charge Included

|



Serviced

|



En Suite

|



Fibre Internet

|



Furnished

|



Alarm","BBQ

|



Balcony

|



Lift/Elevator

|



Parking

|



Swimming Pool

|



CCTV

|



Electric Fence

|



Gym

|



Garden",,
4bdrm Maisonette in Old Runda for rent,Maisonette,"4 bedroom maisonette .
Sharing compound of two tenant.
On 1/2 acre plot 
250k per month",4 bedrooms,4 bathrooms,Not available,Fairy used 4 bedroom maisonette old runda,Old runda,369,Fairly Used,Unfurnished,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"En Suite

|



Fibre Internet","Parking

|



Garden",,
5bdrm House in Karen for rent,House,"5 bedroom house plus dsq for rent in Karen (near Kephis) on a 1 acre land in own compound. Very spacious and a beautiful garden. Has a fish pond, generator, solar system and it's available immediately.",5 bedrooms,5 bathrooms,Not available,Karen,"1000
     
      sqm",,Unfurnished,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



En Suite

|



Fibre Internet","Kids Play Area

|



Balcony

|



Parking

|



Staff Quarters

|



Garden",,
Furnished 2bdrm Apartment in Kilimani for rent,Apartment,"A Cozy two bedrooms fully furnished apartment, strategically located to access major shopping malls in a very quite, secure ans Serene environment,high speed internet, ample parking space,surficiet water supply,UN approved security,",2 bedrooms,2 bathrooms,Not available,kilimani,kilimani,1050,Newly-Built,Furnished,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



En Suite

|



Fibre Internet","Balcony

|



Kids Play Area

|



Parking

|



CCTV

|



Electric Fence

|



Borehole

|



Garden

|



Staff Quarters",,
2bdrm Apartment in South C for Rent,Apartment,"Newly built two bedrooms all ensuite C 50,000/=. All bedrooms are ensuite and comes with additional guest toilet, very spacious to fit big families, sitting room has big windows opening to balcony to enjoy the Nairobi National Park view, bedrooms has inbuilt wardrobe, kitchen has cabinets and a pantry, has a laundry area with fitted socket for washing machine, has gym for residents only and ample underground and basement parking, to schedule viewing call Maryanne",2 bedrooms,3 bathrooms,Not available,Madina area,Newly-Built,,Pets Allowed,Not available,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



En Suite

|



Fibre Internet","Kids Play Area

|



Parking

|



Garden",,
"2bdrm Apartment in Kirigiti, Kiambu / Kiambu  for rent",Apartment,"2 BEDROOM KIRIGITI TOWN 
Prices :21,000
 The apartment has spacious rooms and is close to Kiambu CBD
 With Enclosed Kitchen 
Well lit
Ample parking space
Modern Finishing
With wardrobe
Kitchen Cabinets/shelves,
Tiled floor
Instant showers,
Token electricity meters
Constant water supply/
Next to tarmac road 
 Unit along Kirigiti stadium road
Close proximity to Schools,shopping center and other utilities",2 bedrooms,1 bathroom,Not available,Kirigiti,Kirigiti,135,Newly-Built,Unfurnished,,Not available,1,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



Backup Generator

|



En Suite

|



Fibre Internet","Kids Play Area

|



Balcony

|



Parking

|



Staff Quarters

|



Garden",,
6bdrm Maisonette in Kitengela for Rent,Maisonette,"6Bedroom To Let in Kitengela Mlimani Estate
This delightful 6bedroom Maissonette sits on a 50x100 acre plot of land in Kitengela Mlimani Estate. It boasts fantastic natural light with large balconies and great view, wonderful mature trees and close proximity to schools, hospitals and malls. Kindly call us for booking and viewing +
Price Guide",6 bedrooms,5 bathrooms,Not available,kitengela Milimani,Fairly Used,,Yes,1000,,Not available,Not available,Not available,,Not available,kenya,,,09/05/2024,"Service Charge Included

|



En Suite

|



Fibre Internet

|



Furnished","Kids Play Area

|



Parking

|



Garden",,
