property_name,Estate_name,property_address,property_location
Furnished 2bdrm Apartment,Westlands-Nairobi Central ,Westlands,Not available
Furnished Studio Apartment,Westlands-Nairobi Central ,westlands,Not available
Furnished 2bdrm Apartment,Westlands-Muthaiga North ,Westlands,Not available
Furnished 4bdrm Apartment,Westlands-Lower Kabete ,Lower kabete,Not available
2bdrm Apartment,Westlands-Executive ,Westlands,Not available
3bdrm Apartment,Westlands -Splendid ,Westlands,Not available
Furnished 2bdrm Apartment,Westlands Plus Dsq ,westlands,Not available
4bdrm Shared Apartment,Westlands Estate ,raphta road,Not available
Furnished 2 Bed Apartment with En Suite at Wes,Westlands Area- Westlands,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with En Suite,Westlands Area,Westlands Area,Nairobi Westlands
3 Bed Townhouse,Westlands Area,Brookside drive westland- Westlands Area- Westlands,Nairobi Westlands
5 Bed Townhouse with Garden,Westlands Area,Brookside drive westland- Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment with En Suite,Westlands Area,Eldama Ravine Road- Westlands Area- Westlands,Nairobi Westlands
5 Bed Apartment with En Suite,Westlands Area,General mathenge drive westland- Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with Swimming Pool,Westlands Area,Raphta rd westland- Westlands Area- Westlands,Nairobi Westlands
2 Bed Apartment with Swimming Pool,Westlands Area,Raphta rd westland- Westlands Area- Westlands,Nairobi Westlands
Serviced 3 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
4 Bed House with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished Commercial Property with Fibre Internet,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Office with Parking,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished Office with Service Charge Included,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Office with Backup Generator,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 60 m Commercial Property with Fibre Internet,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 75 m Commercial Property with Fibre Internet,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Commercial Property,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Office,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Townhouse,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished Office with Service Charge Included,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with Swimming Pool,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 1 Bed Apartment with Swimming Pool,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment with Swimming Pool,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with Backup Generator,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 1 Bed Apartment with Swimming Pool,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed Apartment with Backup Generator,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Serviced 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 2 Bed Apartment with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
3 Bed House with En Suite,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
Furnished 3 Bed Apartment with Backup Generator,Westlands Area,Westlands Area- Westlands,Nairobi Westlands
